probe,log2FC,p_value,p_adj,neg_log_padj,status,gene,mean_expr,nef_log_padj
210569_s_at,-0.10802008079451042,0.009795733618177746,0.022327979972775646,1.6511505660624621,NS,SIGLEC9,7.061822206906544,1.6511505660624621
201692_at,0.31294568197572126,1.1800832532360188e-08,8.300440382530999e-08,7.08089886537941,NS,SIGMAR1,7.726893024476636,7.08089886537941
208078_s_at,-0.8525120480826924,1.6303934058690545e-06,7.826380065269312e-06,5.106439065681272,Down,SIK1,10.065068875280378,5.106439065681272
213221_s_at,-0.6661199078719209,3.092493859806445e-19,1.2134504331307326e-17,16.915977958975606,Down,SIK2,6.925224852700936,16.915977958975606
213034_at,-0.26354196554609466,1.2251458127514233e-06,6.018501795753961e-06,5.220511605555419,NS,SIK3,8.599508820028035,5.220511605555419
221705_s_at,0.11966525919950666,0.04968586414728875,0.09282720808200176,1.032324711410465,NS,SIKE1,7.492439282401873,1.032324711410465
218436_at,0.23954353290393904,0.0013499596138837442,0.003750299224058281,2.425934079959473,NS,SIL1,7.981972483467281,2.425934079959473
206876_at,-0.050748627046096395,0.23579282344946023,0.34151260870486333,0.46659325745870217,NS,SIM1,5.583684960831777,0.46659325745870217
208157_at,-0.08149419886101139,0.2896332969990437,0.40286509095066736,0.39484036344888085,NS,SIM2,6.789930069775706,0.39484036344888085
39705_at,-0.22860732539479045,2.690242925175012e-06,1.2419035239626019e-05,4.905912140583011,NS,SIN3B,8.320860362411214,4.905912140583011
204164_at,-0.01090575436524066,0.8389999044651361,0.8923409322321907,0.04946918519975556,NS,SIPA1,7.98699526961682,0.04946918519975556
202255_s_at,0.16405209218824446,0.0011079367617111264,0.0031303104061217693,2.5044125950472416,NS,SIPA1L1,8.72098166804673,2.5044125950472416
37831_at,0.23849998744053025,4.662018304105513e-09,3.519097353332762e-08,7.453568718549752,NS,SIPA1L3,8.206538033962618,7.453568718549752
202897_at,-0.7253313596871909,4.1266344575363243e-13,6.213094298464995e-12,11.206692054886448,Down,SIRPA,8.398880282691593,11.206692054886448
217240_at,-0.03128973627621345,0.6074951211881684,0.7115049603318275,0.14782206783938512,NS,SIRPB1,7.96570361559813,0.14782206783938512
220485_s_at,0.08292963363054362,0.15387157525611708,0.24025788742429102,0.6193223459752625,NS,SIRPG,7.022430366401869,0.6193223459752625
218878_s_at,-0.2442751012748099,0.006643483683306364,0.01576704088988345,1.8022498060865446,NS,SIRT1,7.67273571876636,1.8022498060865446
220605_s_at,-0.03570084379486538,0.4773977210218967,0.594433879297571,0.2258964462651746,NS,SIRT2,9.95658339286916,0.2258964462651746
49327_at,-0.006985272743841975,0.8211597760241754,0.8790729420680615,0.05597508735700343,NS,SIRT3,10.099883312046734,0.05597508735700343
222248_s_at,-0.0677088098170282,0.09806334519269048,0.16598142961858883,0.7799404991004448,NS,SIRT4,6.3276907065887835,0.7799404991004448
219185_at,0.10809701416819095,0.009016780641179029,0.020767020467947525,1.6826258090571984,NS,SIRT5,7.55348221888785,1.6826258090571984
219613_s_at,0.05573980920724608,0.12021997333634232,0.1966281316686521,0.7063543473663229,NS,SIRT6,8.73080592296262,0.7063543473663229
218797_s_at,0.27665167348627584,1.4367468590755235e-08,9.93946918993477e-08,7.0026368081618156,NS,SIRT7,7.503699158962619,7.0026368081618156
205484_at,0.044164467883531344,0.364319334021078,0.4827334078605983,0.3162926445261359,NS,SIT1,8.546205690411215,0.3162926445261359
210792_x_at,0.2401101358793074,0.005665310283087974,0.013678633550552531,1.8639572850059063,NS,SIVA1,8.993768790766353,1.8639572850059063
205817_at,0.8935234570042239,1.166015512400874e-11,1.379104228387934e-10,9.860402909963984,Up,SIX1,6.868158180121497,9.860402909963984
206510_at,0.3170618551136517,0.0003662785036586883,0.0011471235273403445,2.9403898128278643,NS,SIX2,6.1920431771308415,2.9403898128278643
206634_at,0.2160461140928911,0.013283288263965892,0.029253954574614743,1.5338154173135938,NS,SIX3,6.242110729308408,1.5338154173135938
217661_x_at,0.05063411183251443,0.367073809431187,0.48554586819156714,0.31376973720488555,NS,SIX5,4.837388308766355,0.31376973720488555
207250_at,0.04306346310063258,0.36857384023891826,0.48709630994862796,0.3123851604611166,NS,SIX6,6.301965115570095,0.3123851604611166
217640_x_at,0.20488943174630503,8.682950448819323e-06,3.6416748513277054e-05,4.438698832999639,NS,SKA1,4.575107478990654,4.438698832999639
205790_at,0.05398156628430861,0.3979977531706307,0.5171487511750635,0.286384519724866,NS,SKAP1,7.760074257542053,0.286384519724866
204362_at,-0.43690671501477496,8.318974089393146e-05,0.00029396083037416343,3.531710534505046,NS,SKAP2,8.889618713448598,3.531710534505046
204270_at,-0.12105722220267268,0.12716415068227377,0.20557948110745683,0.6870202344554929,NS,SKI,6.35677678661682,0.6870202344554929
217591_at,-0.17383844970936124,0.05698994048476754,0.10444150186301347,0.9811268916735891,NS,SKIL,8.0668446928785,0.9811268916735891
203727_at,0.16647663246199684,0.0016773646062646754,0.004572634636823557,2.33983349828048,NS,SKIV2L,8.72499265617757,2.33983349828048
212896_at,0.1494535580091494,0.025528568519132884,0.05188845136475764,1.2849292908347822,NS,SKIV2L2,8.328370543177572,1.2849292908347822
200718_s_at,0.013322206713587192,0.8059084113589143,0.8681261302480271,0.061417171492636854,NS,SKP1,11.937398169813086,0.061417171492636854
203625_x_at,0.5831197374880377,1.6807921901106186e-06,8.04923541204275e-06,5.094245370824814,NS,SKP2,7.781609565654206,5.094245370824814
203761_at,-0.4670799681579876,6.079369710092829e-11,6.362921336308055e-10,9.196343445837877,NS,SLA,9.857191217654204,9.196343445837877
206181_at,0.1390777750158323,0.03944667721285698,0.07600547452373205,1.1191551252215703,NS,SLAMF1,6.6821497527102816,1.1191551252215703
219159_s_at,0.4157543679873301,7.433604444219345e-09,5.410824662626965e-08,7.266736539119969,NS,SLAMF7,7.617170843859813,7.266736539119969
219385_at,0.02080889353342652,0.791187999626524,0.8574089191556188,0.06681200307413672,NS,SLAMF8,7.84526170982243,0.06681200307413672
206052_s_at,0.629218864938073,1.5368689137753104e-08,1.0586105102211821e-07,6.975263798509871,Up,SLBP,9.350368477607478,6.975263798509871
207185_at,0.024803223637932525,0.6587595372457384,0.7546339074874968,0.1222636848176673,NS,SLC10A1,7.788135648046727,0.1222636848176673
207095_at,0.044355272775513654,0.44366804828267586,0.5617190409024356,0.25048085435298156,NS,SLC10A2,7.415451870280375,0.25048085435298156
204928_s_at,0.07769075156509508,0.28677796028590635,0.3996918494527678,0.39827470781639873,NS,SLC10A3,7.848760410308414,0.39827470781639873
210423_s_at,-0.6013291593916277,1.263824313361567e-13,2.057107171266311e-12,11.686743081821497,Down,SLC11A1,7.932737571074767,11.686743081821497
203123_s_at,0.18983043209429873,0.039772062702927616,0.07654524729740336,1.1160817695194727,NS,SLC11A2,9.423027058728971,1.1160817695194727
220281_at,0.002795223504925559,0.9214273254775148,0.9485481219669907,0.022940631486352624,NS,SLC12A1,4.040132512738318,0.022940631486352624
204404_at,0.31653931060978024,0.00024610018544288806,0.0007949913644859197,3.0996375887982244,NS,SLC12A2,8.71363115017757,3.0996375887982244
208354_s_at,0.039363704398313715,0.3414729374864993,0.45892891833604726,0.33825457538864323,NS,SLC12A3,7.399422536971961,0.33825457538864323
209402_s_at,-0.22531103818261844,1.464336030381346e-06,7.079583372746264e-06,5.149992299406453,NS,SLC12A4,8.022503800551402,5.149992299406453
210040_at,-0.04539310599683244,0.5763727930338484,0.6844657294379259,0.1646482917061726,NS,SLC12A5,7.119493891121494,0.1646482917061726
220740_s_at,0.011098963751233981,0.8376162041215708,0.8915485550889894,0.04985499950715117,NS,SLC12A6,6.531413293439252,0.04985499950715117
218066_at,0.43125791753342213,3.009985689139641e-06,1.3727284304359112e-05,4.862415371596918,NS,SLC12A7,10.49215962566356,4.862415371596918
219874_at,0.7615858694517952,1.7821743772002352e-16,4.51292073408645e-15,14.345542294454855,Up,SLC12A8,6.4986505447476635,14.345542294454855
220371_s_at,0.0787853061671342,0.1747656092211828,0.2672272058104451,0.5731193293855446,NS,SLC12A9,7.713435385177567,0.5731193293855446
220503_at,-0.005274917621746589,0.7692730312140791,0.8412505966511921,0.07507461474748717,NS,SLC13A1,4.026307457532709,0.07507461474748717
207567_at,-0.004992976742433264,0.9197088885251604,0.9473868880827547,0.023472630240015203,NS,SLC13A2,6.289846980299065,0.023472630240015203
205243_at,-0.039453286870164916,0.3530374569208697,0.47069548570380776,0.3272599668587448,NS,SLC13A3,8.281780249345791,0.3272599668587448
219824_at,-0.04117280401020196,0.43753761491423,0.5560423726727807,0.25489211216471824,NS,SLC13A4,6.87222640398131,0.25489211216471824
205856_at,-0.5419005972132283,1.1470412494063792e-12,1.6085286444633324e-11,10.793571200835002,NS,SLC14A1,4.5188797494018695,10.793571200835002
211349_at,-0.01743687676460315,0.6910779410985904,0.7810554758318062,0.10731811850170883,NS,SLC15A1,5.2909478358411235,0.10731811850170883
205316_at,-1.1104724582318806,1.2207879784395085e-15,2.7040575073128793e-14,13.567984076471868,Down,SLC15A2,7.9146461880934575,13.567984076471868
219593_at,-0.7561524084641107,5.1688992059400125e-14,8.923253841178362e-13,12.049476752396162,Down,SLC15A3,8.697549278644859,12.049476752396162
202236_s_at,0.3372234783170285,0.0004372855143579518,0.0013471634337672113,2.8705797137962112,NS,SLC16A1,8.098610475710283,2.8705797137962112
219915_s_at,-0.09238926369915479,0.06919942363696537,0.12352179123559166,0.9082564190963188,NS,SLC16A10,6.505663705429907,0.9082564190963188
204462_s_at,-0.024005521205137548,0.6458336652563864,0.7438661220753928,0.12850521993222488,NS,SLC16A2,7.907224373280373,0.12850521993222488
205234_at,-0.11738413056580033,0.21164927021613694,0.31270260497455105,0.5048685008441767,NS,SLC16A4,5.861542942925232,0.5048685008441767
213590_at,-0.31410734902603643,1.0622247651389131e-05,4.3962768279328384e-05,4.356914968419069,NS,SLC16A5,7.490219267943921,4.356914968419069
207038_at,-0.13620009665165345,0.054734302535132846,0.10083873198762838,0.996372624064992,NS,SLC16A6,5.987343770981309,0.996372624064992
207057_at,0.48709307221675413,0.0021239668194361454,0.005659243922233225,2.2472415868922195,NS,SLC16A7,7.581107888485983,2.2472415868922195
220455_at,0.08472937227023358,0.030746779401064416,0.061085100338259486,1.2140647084151264,NS,SLC16A8,5.975658512542058,1.2140647084151264
206872_at,-0.06792326159394779,0.20448272323752703,0.304272166908332,0.5167377726203694,NS,SLC17A1,7.153832256373831,0.5167377726203694
207097_s_at,-0.007040448453197179,0.8388638554322742,0.892292855921547,0.04949258414755817,NS,SLC17A2,6.2882439492897175,0.04949258414755817
207298_at,-0.13507438393947702,0.007434663682644255,0.017460646167829042,1.7579396883549694,NS,SLC17A3,7.419688349028033,1.7579396883549694
207051_at,-0.015513104790638721,0.7592359846412309,0.833648144562952,0.07901721209367535,NS,SLC17A4,8.065409507738321,0.07901721209367535
221041_s_at,0.025200606993665886,0.6163216339682481,0.7188805993359754,0.14334323667643598,NS,SLC17A5,8.177061406149534,0.14334323667643598
220551_at,-0.017861386338143603,0.61625376032621,0.718839058857192,0.14336833308603633,NS,SLC17A6,4.5928140757663565,0.14336833308603633
204229_at,-0.026715722453548807,0.46493394890772277,0.5821929296718621,0.2349330730695554,NS,SLC17A7,8.476691992719624,0.2349330730695554
219559_at,0.14648429261576368,0.007809482160602233,0.01822757839998948,1.739271025112391,NS,SLC17A9,8.398117580813082,1.739271025112391
207074_s_at,-0.030940332855734276,0.6154290247237494,0.7181777930306,0.14376802793923651,NS,SLC18A1,6.506343237579441,0.14376802793923651
205857_at,-0.7359288041410954,6.895144336181471e-09,5.0707756185852047e-08,7.294925606522977,Down,SLC18A2,5.979245338140188,7.294925606522977
207150_at,0.04971284085995453,0.3599147009472839,0.47814817153808664,0.32043750064785237,NS,SLC18A3,6.160298832728972,0.32043750064785237
209775_x_at,0.010672477617524656,0.7306672137344807,0.8115975037956948,0.09065929738218913,NS,SLC19A1,4.728604732345794,0.09065929738218913
209681_at,-0.5450412646326548,0.00014681767490855253,0.0004956125208282497,3.304857730427674,NS,SLC19A2,8.600995844140188,3.304857730427674
220736_at,-0.446272547108725,4.252890343097817e-11,4.586987198221135e-10,9.338472471934658,NS,SLC19A3,6.526569717205609,9.338472471934658
213664_at,-1.937091240939127,4.694414844684633e-19,1.775987198371947e-17,16.750560169017138,Down,SLC1A1,8.740007148635513,16.750560169017138
208389_s_at,-0.06633804260661513,0.09279781568124526,0.15851389243581357,0.799932669447384,NS,SLC1A2,6.164744037037384,0.799932669447384
202800_at,-0.12368543854222303,0.13569521436032325,0.21641608088470757,0.6647104719387691,NS,SLC1A3,8.563956523616824,0.6647104719387691
212811_x_at,0.39293546308796756,8.197903799405776e-10,7.0717103417344414e-09,8.150475536394682,NS,SLC1A4,8.681374768635516,8.150475536394682
208916_at,0.2663410184359627,1.0235854523152323e-05,4.248985587544769e-05,4.371714742024252,NS,SLC1A5,7.6884552738598115,4.371714742024252
206882_at,0.07130908942575598,0.21328708951845396,0.3147467692542854,0.5020387190508777,NS,SLC1A6,6.101275498476633,0.5020387190508777
207355_at,0.29049415977164106,0.0006543115369781113,0.0019427080584254834,2.711592458350804,NS,SLC1A7,7.005743538682244,2.711592458350804
201920_at,0.5530024405939464,2.891618166312186e-07,1.5988567642663634e-06,5.796190441366381,NS,SLC20A1,8.94934037734579,5.796190441366381
202744_at,0.024694841866644168,0.7342664100375041,0.8145396731650175,0.08908775798894063,NS,SLC20A2,7.530158660130842,0.08908775798894063
207201_s_at,0.028542625544687006,0.6147121284612347,0.7176418692566507,0.14409223125622528,NS,SLC22A1,5.814267461056073,0.14409223125622528
220100_at,0.07688576846516426,0.23363333514638074,0.33912160103368466,0.4696445460787442,NS,SLC22A11,7.1196286590841105,0.4696445460787442
207444_at,0.019737476514430696,0.6430756984085927,0.7415854571049356,0.12983879553158262,NS,SLC22A13,6.466412541841122,0.12983879553158262
207408_at,0.13613851720478642,0.0016721988576914352,0.004559110136539612,2.3411199162179415,NS,SLC22A14,8.362620443607476,2.3411199162179415
218675_at,-0.12322883226565917,0.02931419013357584,0.058562676954139366,1.2323790794933944,NS,SLC22A17,7.319702372373831,1.2323790794933944
204981_at,0.5058572312111185,5.856859076044419e-08,3.6505843578041344e-07,6.43763761141836,NS,SLC22A18,8.9029320124486,6.43763761141836
206097_at,0.18504610569985758,0.0013096529614266595,0.0036492430835901282,2.4377972064227884,NS,SLC22A18AS,8.303903487196262,2.4377972064227884
207429_at,-0.03648461106509426,0.4016734122543265,0.5207491992280213,0.2833713892076174,NS,SLC22A2,6.907116109467291,0.2833713892076174
205421_at,-0.37468776278008153,0.003205231686060447,0.008204730345833997,2.0859356877663706,NS,SLC22A3,4.9006962527383156,2.0859356877663706
205896_at,-0.3060378224609437,0.00019710070340228926,0.000649511235420469,3.1874133319829347,NS,SLC22A4,7.345580735308408,3.1874133319829347
205074_at,-0.05357903358937577,0.364301778725762,0.4827334078605983,0.3162926445261359,NS,SLC22A5,8.240831911383173,0.3162926445261359
216599_x_at,-0.017954807929982053,0.5794651561092771,0.6872224212881484,0.16290267967321748,NS,SLC22A6,6.067303305616822,0.16290267967321748
221662_s_at,0.03824804472061771,0.3842782823856987,0.5031656461629171,0.2982890181812083,NS,SLC22A7,6.190454102233649,0.2982890181812083
221298_s_at,0.11160520185855205,0.05354087706565856,0.09894611880059605,1.0046012364908614,NS,SLC22A8,6.992680470887853,1.0046012364908614
209236_at,-0.3013385441002825,1.0111812744307542e-05,4.1998420015173344e-05,4.376767047497304,NS,SLC23A2,7.759984585588788,4.376767047497304
206081_at,-0.15436815663054215,0.014565632613385239,0.03172377983814517,1.498615072771513,NS,SLC24A1,6.544759876233645,1.498615072771513
220867_s_at,0.08135175857318533,0.05176128110630341,0.09618751952455243,1.0168812746694933,NS,SLC24A2,7.481269902233645,1.0168812746694933
219090_at,-0.5195903938194917,4.661563309782725e-08,2.953472141935981e-07,6.529667121186948,NS,SLC24A3,7.981202181476634,6.529667121186948
210010_s_at,0.2913457307111216,0.0005706279955577662,0.0017161970070203407,2.7654328597560425,NS,SLC25A1,8.943632222495332,2.7654328597560425
218275_at,0.41377893136840527,1.3892611198426952e-12,1.916836255941472e-11,10.717414984763234,NS,SLC25A10,6.906997287317759,10.717414984763234
209003_at,-0.1330265385830387,0.03304564941978729,0.06510089346840423,1.1864130509750497,NS,SLC25A11,8.940981913635513,1.1864130509750497
203340_s_at,0.1730975926023932,0.003912411531352882,0.00982423553675189,2.0077012338367237,NS,SLC25A12,7.803924674271029,2.0077012338367237
203775_at,0.6600563835548909,7.306096276287561e-12,8.91575812291981e-11,10.049841722078982,Up,SLC25A13,7.372454219373829,10.049841722078982
204587_at,-0.018427166613651735,0.6498402626215187,0.7471821760575491,0.126573496697904,NS,SLC25A14,8.433490102906541,0.126573496697904
218653_at,0.0996124186337104,0.04910143055977334,0.09186626172656838,1.036843955819754,NS,SLC25A15,7.94208238033645,1.036843955819754
210686_x_at,0.06375418057389304,0.165185555342549,0.2549404162417246,0.5935613094527988,NS,SLC25A16,9.932372598728971,0.5935613094527988
214210_at,0.00416936257459799,0.8896339876604081,0.9273384547428019,0.03276173058010146,NS,SLC25A17,7.6820268447196245,0.03276173058010146
203658_at,-0.28742607299929723,4.513468893602829e-09,3.4162237553040707e-08,7.466453691697498,NS,SLC25A20,8.45592763863551,7.466453691697498
220474_at,0.11985408254609364,0.00046517932157346195,0.0014245164687335119,2.8463325255478846,NS,SLC25A21,4.513218646121495,2.8463325255478846
218725_at,0.1865207445890249,0.0001184201651660185,0.0004062125216124369,3.391246693478307,NS,SLC25A22,7.976387073878504,3.391246693478307
220182_at,0.14151506086488208,0.0005939068005880718,0.001781400624243371,2.7492383998336023,NS,SLC25A23,5.961000618616823,2.7492383998336023
204342_at,-0.25707209310626666,0.005562177787540406,0.013463177019309458,1.8708524438902616,NS,SLC25A24,9.114772588074764,1.8708524438902616
221432_s_at,-0.2580331700700196,8.360051617194086e-07,4.232834132831989e-06,5.373368749387355,NS,SLC25A28,8.437479414345795,5.373368749387355
200030_s_at,-0.03112235394088181,0.6002934505647447,0.7054659015312593,0.15152397288723565,NS,SLC25A3,12.294456223271027,0.15152397288723565
216721_at,-0.026104575704785304,0.5022038949656651,0.6173107563724578,0.20949615557378687,NS,SLC25A30,6.710357337813083,0.20949615557378687
221037_s_at,-0.016763007024277243,0.42665199970442985,0.5450998514657308,0.263523936313199,NS,SLC25A31,4.178524981700937,0.263523936313199
221020_s_at,0.20271330759148398,0.06160221467880835,0.11166372323174867,0.95208789545348,NS,SLC25A32,8.1212327384486,0.95208789545348
201919_at,-0.12906302963265404,0.011942651404386245,0.026614471571551026,1.574882152291818,NS,SLC25A36,10.440317695392524,1.574882152291818
218136_s_at,0.2645219863142172,0.0008764682095695482,0.0025337754428954645,2.596231877310824,NS,SLC25A37,7.595860944121498,2.596231877310824
217961_at,-0.12684269165657902,0.012380613973688639,0.02745866638555827,1.5613205594320263,NS,SLC25A38,8.471230263345795,1.5613205594320263
202825_at,-0.38748228893666603,9.033450207751104e-06,3.7787191848942714e-05,4.422655381431048,NS,SLC25A4,7.923979499009348,4.422655381431048
205716_at,0.21159492199225838,2.608314406578927e-06,1.206331878825202e-05,4.918533195252167,NS,SLC25A40,6.541661932794391,4.918533195252167
214029_at,0.022918684713580717,0.4152150061710481,0.5339278717489219,0.2725174077976156,NS,SLC25A42,4.644897944009347,0.2725174077976156
212683_at,0.007421000390570143,0.925904646774033,0.9513941364966234,0.021639529492749564,NS,SLC25A44,8.55290621515888,0.021639529492749564
212833_at,-0.040990674715692066,0.635682238399573,0.7355336648799297,0.13339744511592394,NS,SLC25A46,8.389356756373832,0.13339744511592394
200657_at,0.22955162384940664,0.006003466867184631,0.01442320778452562,1.8409381398808904,NS,SLC25A5,11.935906236261687,1.8409381398808904
212826_s_at,0.14058338803307713,0.03602218890812754,0.07015899301348566,1.153916652991859,NS,SLC25A6,11.724114054392524,1.153916652991859
205058_at,-0.004651358288530361,0.9173245018436785,0.9457176771806555,0.02423849313536919,NS,SLC26A1,6.5553472180654175,0.02423849313536919
214951_at,-0.19066310777199114,4.059088783496697e-06,1.8060837732159924e-05,4.743262109281844,NS,SLC26A10,6.421528032728972,4.743262109281844
