gene,probe,log2FC,fold_change,p_value,p_adj,status
TUBB6,209191_at,-0.740811516880715,0.5984026557467811,1.201138660989582e-11,1.419139596120406e-10,Down
TPI1,200822_x_at,0.7407082027480705,1.670995910632195,1.1169816409117732e-18,3.9696494265449825e-17,Up
SRI,208921_s_at,0.7401820504718497,1.670386607921453,7.699169793981298e-13,1.1054162404593123e-11,Up
CPSF6,202469_s_at,0.7399726515647469,1.6701441784839202,1.2948526722655748e-15,2.8454834414293694e-14,Up
PTPLA,219654_at,-0.7399235639440551,0.5987710752208967,2.8849338584160443e-07,1.5955567427918767e-06,Down
MRPL42,217919_s_at,0.7386195425035194,1.6685784783807376,4.4211502337364055e-12,5.5975278783152456e-11,Up
ACTL6A,202666_s_at,0.737490393899713,1.6672730493759798,7.837538503124506e-11,8.014863261364084e-10,Up
TBC1D2,222173_s_at,-0.7371215481140041,0.5999351440819664,4.3712836950275815e-19,1.6650481124153777e-17,Down
TM6SF1,219892_at,-0.7368334693170286,0.6000549516962674,1.984239811243799e-15,4.231082843439768e-14,Down
TUBB,211714_x_at,0.7365046702814908,1.666134271566237,1.362043431978344e-10,1.353116977029578e-09,Up
PLA1A,219584_at,-0.7361912153874028,0.60032214152869,3.1717286119206464e-10,2.932598699561318e-09,Down
ETNK1,219017_at,0.7360583889968355,1.6656189516078974,1.0638479281289983e-08,7.516082239219553e-08,Up
ATAD2,218782_s_at,0.736036899369811,1.66559414160825,3.080126271442243e-11,3.411255154400969e-10,Up
SLC18A2,205857_at,-0.7359288041410954,0.6004313438232846,6.895144336181471e-09,5.0707756185852047e-08,Down
HJURP,218726_at,0.7352632303965514,1.6647011787760502,2.0824671163552062e-14,3.7849604203705596e-13,Up
HLTF,202983_at,0.7351209102529914,1.6645369660918343,1.6864861745496975e-11,1.9542366836968752e-10,Up
GSAP,213142_x_at,-0.7350229141270255,0.6008084821291072,3.6240699398260526e-09,2.779867486029051e-08,Down
VSTM4,213381_at,-0.7341456904204771,0.6011739118937215,6.981096361295203e-27,8.408636228040055e-25,Down
MRPS30,218398_at,0.7331240541083739,1.662234648868776,5.606067826972695e-13,8.238107373733565e-12,Up
AXL,202686_s_at,-0.7328144742054832,0.6017288883626773,6.997462397201205e-09,5.136919613348249e-08,Down
CLDN7,202790_at,0.7322284140570048,1.661203036601674,1.3439340345506034e-11,1.5753225719037924e-10,Up
REV3L,208070_s_at,-0.7321823659623448,0.6019925900581901,1.5381591142077657e-13,2.465812916682852e-12,Down
SOD3,205236_x_at,-0.7312878696914122,0.602365951773414,3.1599105220530488e-15,6.471717478208463e-14,Down
GPD1L,212510_at,-0.7305267088954981,0.6026838417684217,3.8895064346855855e-10,3.5375457911877103e-09,Down
TSPAN4,209263_x_at,-0.7303195441618513,0.6027703907609318,6.134816556963205e-14,1.045123221244733e-12,Down
NMNAT2,209755_at,0.7293452118937376,1.6578864649857745,6.688568998709382e-08,4.1171652761945074e-07,Up
POLR2H,209302_at,0.7292033284634059,1.6577234263354323,7.351655803391472e-19,2.6811284168080553e-17,Up
HSPD1,200807_s_at,0.7286687310837454,1.6571092629817024,9.2875589862339e-15,1.7764349947660943e-13,Up
C11orf80,204922_at,0.7284780950267429,1.6568903089434355,1.8622378167898617e-19,7.547956675362382e-18,Up
PSMD14,212296_at,0.7276774663349723,1.655971066925499,2.4926612774940022e-15,5.20074637138566e-14,Up
ELMO1,204513_s_at,-0.7273662467195621,0.6040055676367705,1.2150097611429351e-21,6.549890234777259e-20,Down
P4HA1,207543_s_at,0.7272277899869817,1.6554549946012274,1.868043953828427e-13,2.952171873982897e-12,Up
HSD17B4,201413_at,-0.7267791292244876,0.6042514230628618,5.686664362599525e-15,1.1243650576025306e-13,Down
SLCO2B1,203473_at,-0.7261971966199816,0.6044952060677952,1.2387634430208316e-14,2.33531013543428e-13,Down
MTFR1,203208_s_at,0.7259618651984496,1.6540030159970631,2.8227093976191265e-15,5.813163910087522e-14,Up
ELN,212670_at,-0.7258046333810704,0.6046597140737889,8.55647909460663e-07,4.320508127467019e-06,Down
CHEK1,205394_at,0.7253920117544004,1.6533498265391096,1.3052137990496439e-11,1.5339704158345577e-10,Up
SIRPA,202897_at,-0.7253313596871909,0.6048581042201191,4.1266344575363243e-13,6.213094298464995e-12,Down
RAN,200750_s_at,0.7251358553979621,1.6530562936307616,1.2696073676783036e-09,1.0623605322559384e-08,Up
RAMP1,204916_at,0.7247642883402525,1.652630602714739,1.7289755019471678e-12,2.3349552187811357e-11,Up
FMO3,206496_at,-0.724731409652712,0.6051096889931381,2.9106622170406923e-06,1.3315189115647249e-05,Down
EGLN3,219232_s_at,0.7246845340964114,1.6525392454581915,2.3126879810213703e-12,3.072965192671389e-11,Up
CCRL2,211434_s_at,-0.724495558704783,0.605208620060259,5.640172495892257e-15,1.1171552331197082e-13,Down
SLC7A7,204588_s_at,-0.7242143623251227,0.6053265930582437,2.151553368018912e-15,4.5616616269805345e-14,Down
TK1,202338_at,0.7240655825703746,1.651830417689239,1.3493785519840656e-15,2.95365444733408e-14,Up
